@relation water_potability-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R10

@attribute Instance_number numeric
@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Cluster numeric

@data
0,0.505771,0.571139,0.336096,0.543891,0.680385,0.669439,0.313402,0.699753,0.286091,0
1,0.265434,0.2974,0.300611,0.491839,0.581699,0.719411,0.497319,0.450999,0.576793,1
2,0.578509,0.641311,0.321619,0.698543,0.581699,0.414652,0.562017,0.532866,0.303637,0
3,0.594055,0.605536,0.356244,0.603314,0.647347,0.31788,0.622089,0.808065,0.601015,0
4,0.649445,0.484851,0.289922,0.4849,0.514545,0.379337,0.358555,0.253606,0.496327,0
5,0.398863,0.51101,0.466746,0.563043,0.561537,0.173092,0.237538,0.43955,0.209814,0
6,0.730276,0.727768,0.466763,0.56058,0.751819,0.178659,0.44405,0.680385,0.231233,0
7,0.616846,0.565593,0.219208,0.329629,0.495155,0.512581,0.389418,0.503483,0.558031,0
8,0.505771,0.259553,0.229281,0.58334,0.39669,0.363537,0.402531,0.431527,0.405562,0
9,0.798592,0.652175,0.413152,0.68299,0.7813,0.668699,0.602598,0.577945,0.552195,1
10,0.52576,0.428336,0.527559,0.563499,0.561384,0.426503,0.512905,0.632815,0.418282,1
11,0.569609,0.621205,0.302871,0.60731,0.581699,0.319335,0.472251,0.614528,0.484348,0
12,0.508559,0.396359,0.302266,0.254719,0.435599,0.290686,0.526036,0.638987,0.377341,0
13,0.505771,0.372673,0.443475,0.507728,0.484094,0.346726,0.657885,0.614723,0.560404,1
14,0.535445,0.572788,0.460824,0.369515,0.581699,0.460186,0.422541,0.564344,0.629114,1
15,0.453377,0.505277,0.668967,0.726231,0.668941,0.586263,0.357846,0.603054,0.55329,1
16,0.503699,0.593479,0.503391,0.762645,0.581699,0.233725,0.697204,0.453616,0.532885,1
17,0.655826,0.82114,0.389457,0.512954,0.765134,0.518469,0.428634,0.573732,0.577361,0
18,0.641105,0.841247,0.314245,0.458107,0.581699,0.437101,0.409531,0.511782,0.186441,0
19,0.526504,0.605983,0.415546,0.319426,0.587319,0.504374,0.394987,0.503475,0.209926,1
20,0.505771,0.652914,0.360958,0.781363,0.581699,0.652847,0.541444,0.362194,0.507359,0
21,0.475729,0.438358,0.502796,0.431058,0.516804,0.598378,0.600929,0.619042,0.434808,1
22,0.505771,0.611356,0.275609,0.411355,0.562292,0.445516,0.459351,0.479608,0.758036,0
23,0.278748,0.542168,0.342273,0.520103,0.581699,0.459895,0.55207,0.725639,0.582061,1
24,0.385736,0.338447,0.278225,0.759675,0.566309,0.509549,0.346988,0.45589,0.638076,0
25,0.465315,0.548929,0.343114,0.651189,0.552782,0.405356,0.48659,0.641802,0.709186,0
26,0.246076,0.582151,0.543521,0.659894,0.724389,0.455186,0.444671,0.239706,0.516997,1
27,0.505771,0.356689,0.211866,0.591346,0.497121,0.205482,0.40343,0.395895,0.483054,0
28,0.505771,0.794325,0.427576,0.575191,0.756722,0.320003,0.31222,0.424059,0.480538,0
29,0.505771,0.365339,0.244186,0.680613,0.505671,0.668558,0.550523,0.421364,0.867496,0
30,0.512961,0.588314,0.244233,0.441697,0.594654,0.280887,0.219257,0.574386,0.688005,0
31,0.701821,0.519872,0.317815,0.501412,0.581699,0.47451,0.563182,0.375979,0.266113,0
32,0.745235,0.25521,0.361309,0.611312,0.507648,0.404826,0.409606,0.527295,0.68204,1
33,0.529582,0.680515,0.529255,0.508333,0.733389,0.403071,0.30823,0.354946,0.323431,1
34,0.505771,0.670489,0.237517,0.401011,0.581699,0.354105,0.381875,0.692369,0.676719,0
35,0.365416,0.524211,0.316874,0.446866,0.553464,0.45512,0.335881,0.393473,0.46362,0
36,0.260116,0.495033,0.401127,0.405974,0.446153,0.481546,0.261842,0.591072,0.380857,1
37,0.40129,0.931488,0.278478,0.450026,0.581699,0.381192,0.385632,0.655928,0.273501,0
38,0.505771,0.348293,0.322156,0.433562,0.581699,0.429559,0.776624,0.424998,0.275584,0
39,0.661942,0.548374,0.400005,0.450772,0.565512,0.376654,0.546819,0.240507,0.543393,1
40,0.505771,0.676215,0.186893,0.332477,0.511431,0.293632,0.618348,0.340247,0.389488,0
41,0.380853,0.534807,0.268247,0.598186,0.533122,0.268662,0.305767,0.477314,0.564345,0
42,0.510412,0.693738,0.467266,0.505834,0.729981,0.263262,0.340734,0.530578,0.705727,1
43,0.708621,0.56362,0.158489,0.511174,0.591853,0.26529,0.832092,0.576785,0.612726,0
44,0.339889,0.493005,0.348856,0.342806,0.581699,0.389013,0.630967,0.53686,0.584761,1
45,0.407352,0.614521,0.579341,0.534822,0.581699,0.565095,0.53413,0.623048,0.508175,1
46,0.496705,0.588361,0.168361,0.321777,0.530086,0.3667,0.424725,0.702998,0.330064,0
47,0.763069,0.456827,0.253468,0.408515,0.506639,0.24888,0.302332,0.630647,0.48209,0
48,0.505771,0.299097,0.559793,0.467313,0.498636,0.505099,0.62833,0.581409,0.558818,1
49,0.625518,0.554094,0.348327,0.35719,0.536552,0.390366,0.443231,0.382866,0.411446,0
50,0.505771,0.438738,0.446118,0.52401,0.485243,0.353778,0.535711,0.608391,0.302147,1
51,0.557831,0.192336,0.191977,0.380455,0.335769,0.740981,0.28396,0.53014,0.188588,0
52,0.475178,0.353939,0.320999,0.360788,0.451813,0.63738,0.334943,0.575923,0.433369,1
53,0.653371,0.59589,0.190451,0.538458,0.598675,0.605438,0.615912,0.380465,0.443284,0
54,0.754339,0.487723,0.352389,0.519707,0.600489,0.481015,0.547235,0.271893,0.475456,0
55,0.53459,0.771369,0.497415,0.706625,0.581699,0.390283,0.526225,0.534496,0.629833,1
56,0.608629,0.692451,0.467254,0.620807,0.717691,0.524317,0.14622,0.311152,0.470903,1
57,0.357101,0.518169,0.394096,0.538408,0.556466,0.391437,0.231286,0.800647,0.569235,1
58,0.505771,0.400335,0.273251,0.624941,0.485879,0.31391,0.407044,0.575838,0.55878,0
