@relation water_potability-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-R10

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Potability {0,1}

@data
0.505771,0.571139,0.336096,0.543891,0.680385,0.669439,0.313402,0.699753,0.286091,0
0.265434,0.2974,0.300611,0.491839,0.581699,0.719411,0.497319,0.450999,0.576793,0
0.578509,0.641311,0.321619,0.698543,0.581699,0.414652,0.562017,0.532866,0.303637,0
0.594055,0.605536,0.356244,0.603314,0.647347,0.31788,0.622089,0.808065,0.601015,0
0.649445,0.484851,0.289922,0.4849,0.514545,0.379337,0.358555,0.253606,0.496327,0
0.398863,0.51101,0.466746,0.563043,0.561537,0.173092,0.237538,0.43955,0.209814,0
0.730276,0.727768,0.466763,0.56058,0.751819,0.178659,0.44405,0.680385,0.231233,0
0.616846,0.565593,0.219208,0.329629,0.495155,0.512581,0.389418,0.503483,0.558031,0
0.505771,0.259553,0.229281,0.58334,0.39669,0.363537,0.402531,0.431527,0.405562,0
0.798592,0.652175,0.413152,0.68299,0.7813,0.668699,0.602598,0.577945,0.552195,0
0.52576,0.428336,0.527559,0.563499,0.561384,0.426503,0.512905,0.632815,0.418282,0
0.569609,0.621205,0.302871,0.60731,0.581699,0.319335,0.472251,0.614528,0.484348,0
0.508559,0.396359,0.302266,0.254719,0.435599,0.290686,0.526036,0.638987,0.377341,0
0.505771,0.372673,0.443475,0.507728,0.484094,0.346726,0.657885,0.614723,0.560404,0
0.535445,0.572788,0.460824,0.369515,0.581699,0.460186,0.422541,0.564344,0.629114,0
0.453377,0.505277,0.668967,0.726231,0.668941,0.586263,0.357846,0.603054,0.55329,0
0.503699,0.593479,0.503391,0.762645,0.581699,0.233725,0.697204,0.453616,0.532885,0
0.655826,0.82114,0.389457,0.512954,0.765134,0.518469,0.428634,0.573732,0.577361,0
0.641105,0.841247,0.314245,0.458107,0.581699,0.437101,0.409531,0.511782,0.186441,0
0.526504,0.605983,0.415546,0.319426,0.587319,0.504374,0.394987,0.503475,0.209926,0
0.505771,0.652914,0.360958,0.781363,0.581699,0.652847,0.541444,0.362194,0.507359,0
0.475729,0.438358,0.502796,0.431058,0.516804,0.598378,0.600929,0.619042,0.434808,0
0.505771,0.611356,0.275609,0.411355,0.562292,0.445516,0.459351,0.479608,0.758036,0
0.278748,0.542168,0.342273,0.520103,0.581699,0.459895,0.55207,0.725639,0.582061,0
0.385736,0.338447,0.278225,0.759675,0.566309,0.509549,0.346988,0.45589,0.638076,0
0.465315,0.548929,0.343114,0.651189,0.552782,0.405356,0.48659,0.641802,0.709186,0
0.246076,0.582151,0.543521,0.659894,0.724389,0.455186,0.444671,0.239706,0.516997,0
0.505771,0.356689,0.211866,0.591346,0.497121,0.205482,0.40343,0.395895,0.483054,0
0.505771,0.794325,0.427576,0.575191,0.756722,0.320003,0.31222,0.424059,0.480538,0
0.505771,0.365339,0.244186,0.680613,0.505671,0.668558,0.550523,0.421364,0.867496,0
0.512961,0.588314,0.244233,0.441697,0.594654,0.280887,0.219257,0.574386,0.688005,0
0.701821,0.519872,0.317815,0.501412,0.581699,0.47451,0.563182,0.375979,0.266113,0
0.745235,0.25521,0.361309,0.611312,0.507648,0.404826,0.409606,0.527295,0.68204,0
0.529582,0.680515,0.529255,0.508333,0.733389,0.403071,0.30823,0.354946,0.323431,0
0.505771,0.670489,0.237517,0.401011,0.581699,0.354105,0.381875,0.692369,0.676719,0
0.365416,0.524211,0.316874,0.446866,0.553464,0.45512,0.335881,0.393473,0.46362,0
0.260116,0.495033,0.401127,0.405974,0.446153,0.481546,0.261842,0.591072,0.380857,0
0.40129,0.931488,0.278478,0.450026,0.581699,0.381192,0.385632,0.655928,0.273501,0
0.505771,0.348293,0.322156,0.433562,0.581699,0.429559,0.776624,0.424998,0.275584,0
0.661942,0.548374,0.400005,0.450772,0.565512,0.376654,0.546819,0.240507,0.543393,0
0.505771,0.676215,0.186893,0.332477,0.511431,0.293632,0.618348,0.340247,0.389488,0
0.380853,0.534807,0.268247,0.598186,0.533122,0.268662,0.305767,0.477314,0.564345,0
0.510412,0.693738,0.467266,0.505834,0.729981,0.263262,0.340734,0.530578,0.705727,0
0.708621,0.56362,0.158489,0.511174,0.591853,0.26529,0.832092,0.576785,0.612726,0
0.339889,0.493005,0.348856,0.342806,0.581699,0.389013,0.630967,0.53686,0.584761,0
0.407352,0.614521,0.579341,0.534822,0.581699,0.565095,0.53413,0.623048,0.508175,0
0.496705,0.588361,0.168361,0.321777,0.530086,0.3667,0.424725,0.702998,0.330064,0
0.763069,0.456827,0.253468,0.408515,0.506639,0.24888,0.302332,0.630647,0.48209,0
0.505771,0.299097,0.559793,0.467313,0.498636,0.505099,0.62833,0.581409,0.558818,0
0.625518,0.554094,0.348327,0.35719,0.536552,0.390366,0.443231,0.382866,0.411446,0
0.505771,0.438738,0.446118,0.52401,0.485243,0.353778,0.535711,0.608391,0.302147,0
0.557831,0.192336,0.191977,0.380455,0.335769,0.740981,0.28396,0.53014,0.188588,0
0.475178,0.353939,0.320999,0.360788,0.451813,0.63738,0.334943,0.575923,0.433369,0
0.653371,0.59589,0.190451,0.538458,0.598675,0.605438,0.615912,0.380465,0.443284,0
0.754339,0.487723,0.352389,0.519707,0.600489,0.481015,0.547235,0.271893,0.475456,0
0.53459,0.771369,0.497415,0.706625,0.581699,0.390283,0.526225,0.534496,0.629833,0
0.608629,0.692451,0.467254,0.620807,0.717691,0.524317,0.14622,0.311152,0.470903,0
0.357101,0.518169,0.394096,0.538408,0.556466,0.391437,0.231286,0.800647,0.569235,0
0.505771,0.400335,0.273251,0.624941,0.485879,0.31391,0.407044,0.575838,0.55878,0
0.505771,0.390377,0.332253,0.613332,0.581699,0.190077,0.552577,0.477715,0.499132,0
0.279006,0.67456,0.522506,0.519987,0.623126,0.153823,0.285599,0.511148,0.46377,0
0.456525,0.600619,0.338956,0.393234,0.564299,0.328498,0.442839,0.139359,0.467716,0
0.505771,0.660352,0.581365,0.66214,0.72705,0.200948,0.564256,0.532673,0.454831,0
0.620864,0.535785,0.399553,0.616822,0.581699,0.379222,0.390068,0.387003,0.572501,0
0.577554,0.291295,0.530864,0.483932,0.581699,0.410514,0.341749,0.629043,0.49512,0
0.443141,0.598039,0.352905,0.588806,0.581699,0.315855,0.487855,0.512208,0.711985,0
0.361293,0.6933,0.567314,0.675638,0.697194,0.853779,0.427325,0.614819,0.69137,0
0.505771,0.203244,0.444933,0.631335,0.581699,0.532458,0.350618,0.544628,0.599507,0
0.505771,0.594027,0.20539,0.324862,0.562342,0.265531,0.530465,0.398829,0.376203,0
0.518682,0.480456,0.404619,0.429361,0.625711,0.559052,0.578073,0.407709,0.41338,0
0.511462,0.492061,0.105447,0.27014,0.42212,0.431142,0.291173,0.724452,0.460369,0
0.407483,0.249798,0.540218,0.524345,0.477453,0.564641,0.260606,0.38462,0.511918,0
0.444091,0.302919,0.314244,0.527629,0.486126,0.656053,0.455311,0.46372,0.73281,0
0.619995,0.706574,0.372098,0.560999,0.581699,0.299827,0.632353,0.561162,0.45821,0
0.505771,0.623409,0.238703,0.410671,0.611999,0.426206,0.519994,0.394396,0.606148,0
0.492666,0.594606,0.415882,0.502075,0.581699,0.352413,0.449609,0.72841,0.675512,0
0.251039,0.403712,0.372847,0.506433,0.447469,0.220151,0.287825,0.641827,0.43725,0
0.265893,0.421513,0.618019,0.4957,0.561582,0.500262,0.473842,0.404342,0.418385,0
0.461072,0.468827,0.396463,0.423087,0.527794,0.517781,0.538142,0.462362,0.159469,0
0.522629,0.61696,0.518542,0.744661,0.704308,0.42743,0.260259,0.557927,0.38918,0
0.131753,0.675871,0.465776,0.577098,0.581699,0.40028,0.513864,0.434533,0.67375,0
0.394223,0.439971,0.200483,0.577591,0.581699,0.458306,0.60916,0.532673,0.436566,0
0.529213,0.571398,0.151794,0.481716,0.518286,0.564234,0.357553,0.652017,0.439104,0
0.426912,0.767236,0.442435,0.571162,0.723395,0.581674,0.385318,0.663074,0.292054,0
0.456811,0.313401,0.385943,0.373835,0.391751,0.685338,0.292486,0.764945,0.518287,0
0.443546,0.536779,0.21009,0.589225,0.581699,0.412266,0.203359,0.56635,0.408871,0
0.483059,0.669744,0.440652,0.589667,0.629051,0.496504,0.446895,0.519822,0.655432,0
0.70848,0.55043,0.347244,0.504723,0.568639,0.435464,0.527435,0.475039,0.36595,0
0.725389,0.917185,0.202466,0.493395,0.765978,0.535054,0.273856,0.545032,0.671671,0
0.62298,0.576505,0.464437,0.467588,0.705633,0.569117,0.43501,0.337845,0.208929,0
0.505771,0.546072,0.276365,0.571992,0.568929,0.688336,0.370536,0.554687,0.554721,0
0.505771,0.550164,0.482725,0.510191,0.648532,0.41833,0.269219,0.442604,0.360213,0
0.435689,0.690945,0.329948,0.634507,0.581699,0.191693,0.654025,0.749623,0.325731,0
0.644771,0.746431,0.45388,0.48817,0.694693,0.711427,0.534319,0.473678,0.10759,0
0.496669,0.564813,0.185337,0.402641,0.49792,0.646418,0.275394,0.447989,0.41631,0
0.438634,0.545696,0.43291,0.566356,0.568791,0.641048,0.522465,0.328776,0.739168,0
0.505562,0.628377,0.3867,0.456348,0.605025,0.265043,0.324207,0.726581,0.62668,0
0.392022,0.32054,0.347488,0.61334,0.430654,0.454391,0.485068,0.71027,0.683832,0
0.514683,0.26441,0.399088,0.457962,0.456689,0.41435,0.438435,0.511072,0.427312,0
0.655562,0.420189,0.337361,0.577224,0.543764,0.42932,0.30706,0.500502,0.313626,0
0.305051,0.433113,0.395432,0.551038,0.477818,0.29384,0.432127,0.435956,0.437494,0
0.524917,0.637788,0.183858,0.668302,0.581699,0.546769,0.610934,0.592052,0.648681,0
0.609012,0.464942,0.18908,0.558255,0.509611,0.511939,0.752717,0.418898,0.6869,0
0.505771,0.441108,0.588312,0.624531,0.568245,0.715675,0.593683,0.830852,0.481371,0
0.186574,0.51279,0.566072,0.504457,0.581699,0.501167,0.420336,0.395789,0.626811,0
0.606469,0.568358,0.372193,0.619866,0.652918,0.443321,0.570278,0.500427,0.458604,0
0.505771,0.60252,0.364803,0.517041,0.582453,0.49298,0.361035,0.558792,0.368424,0
0.632743,0.751511,0.152749,0.59507,0.623264,0.28472,0.21975,0.627692,0.770604,0
0.435583,0.517113,0.45079,0.476798,0.621907,0.112573,0.476509,0.589692,0.477853,0
0.601426,0.5016,0.212081,0.285422,0.508884,0.493415,0.575079,0.38978,0.475038,0
0.663297,0.635599,0.196865,0.543081,0.577334,0.301222,0.458688,0.532673,0.716578,0
0.562564,0.648741,0.203416,0.544119,0.617569,0.461461,0.148025,0.506158,0.527243,0
0.551809,0.742979,0.593647,0.628944,0.845221,0.276165,0.585665,0.484706,0.430107,0
0.242006,0.597032,0.326882,0.643271,0.625389,0.301524,0.613346,0.662409,0.254982,0
0.481808,0.620231,0.353837,0.533347,0.581699,0.334989,0.560407,0.595058,0.46367,0
