@relation water_potability-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Potability {0,1}

@data
7.080795,204.890455,20791.318981,7.300212,368.516441,564.308654,10.379783,86.99097,2.963135,0
3.71608,129.422921,18630.057858,6.635246,333.775777,592.885359,15.180013,56.329076,4.500656,0
8.099124,224.236259,19909.541732,9.275884,333.775777,418.606213,16.868637,66.420093,3.055934,0
8.316766,214.373394,22018.417441,8.059332,356.886136,363.266516,18.436524,100.341674,4.628771,0
9.092223,181.101509,17978.986339,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
5.584087,188.313324,28748.687739,7.544869,326.678363,280.467916,8.399735,54.917862,2.559708,0
10.223862,248.071735,28749.716544,7.513408,393.663396,283.651634,13.789695,84.603556,2.672989,0
8.635849,203.361523,13672.091764,4.563009,303.309771,474.607645,12.363817,62.798309,4.401425,0
7.080795,118.988579,14285.583854,7.804174,268.646941,389.375566,12.706049,53.928846,3.595017,0
11.180284,227.231469,25484.508491,9.0772,404.041635,563.885481,17.927806,71.976601,4.370562,0
7.36064,165.520797,32452.614409,7.550701,326.624353,425.383419,15.58681,78.740016,3.662292,0
7.974522,218.6933,18767.656682,8.110385,333.775777,364.09823,14.525746,76.485911,4.011718,0
7.119824,156.704993,18730.813653,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,0
7.080795,150.174923,27331.361962,6.838223,299.415781,379.761835,19.370807,76.509996,4.413974,0
7.496232,205.344982,28388.004887,5.072558,333.775777,444.645352,13.228311,70.300213,4.777382,0
6.347272,186.732881,41065.234765,9.629596,364.487687,516.743282,11.539781,75.071617,4.376348,0
7.051786,211.049406,30980.600787,10.094796,333.775777,315.141267,20.397022,56.651604,4.268429,0
9.18156,273.813807,24041.32628,6.90499,398.350517,477.974642,13.387341,71.457362,4.503661,0
8.975464,279.357167,19460.398131,6.204321,333.775777,431.44399,12.888759,63.821237,2.436086,0
7.37105,214.49661,25630.320037,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,0
7.080795,227.435048,22305.567414,10.333918,333.775777,554.820086,16.331693,45.382815,4.133423,0
6.660212,168.283747,30944.363591,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,0
7.080795,215.977859,17107.224226,5.60706,326.943978,436.256194,14.189062,59.855476,5.459251,0
3.902476,196.903247,21167.500099,6.996312,333.775777,444.478883,16.609033,90.181676,4.528523,0
5.400302,140.739062,17266.593422,10.056852,328.358241,472.874073,11.256381,56.931906,4.824786,0
6.514415,198.767351,21218.702871,8.670937,323.596349,413.29045,14.9,79.847843,5.200885,0
3.445062,207.92626,33424.768678,8.782147,384.007006,441.785876,13.805902,30.284597,4.184397,0
7.080795,145.768181,13224.935639,7.906445,304.001993,298.990666,12.729525,49.536849,4.004871,0
7.080795,266.421018,26362.965012,7.700063,395.38949,364.480107,10.348951,53.008381,3.991564,0
7.080795,148.153061,15193.413474,9.046833,307.011793,563.804743,16.568656,52.676185,6.038185,0
7.181449,209.625601,15196.229987,5.994679,338.336431,342.111286,7.922598,71.537953,5.08886,0
9.82549,190.756618,19677.892466,6.757541,333.775777,452.836235,16.899038,47.081971,2.857472,0
10.433291,117.79123,22326.892046,8.161505,307.707509,412.986834,12.890709,65.733478,5.057311,0
7.414148,235.044534,32555.852537,6.845952,387.175316,411.983364,10.244815,44.489297,3.160624,0
7.080795,232.280452,14787.206265,5.474915,333.775777,383.981723,12.166937,86.080727,5.029167,0
5.115817,191.952743,19620.545329,6.060713,323.836384,441.748379,10.966486,49.238231,3.902089,0
3.64163,183.908722,24752.07246,5.538314,286.059556,456.860096,9.034067,73.594657,3.464353,0
5.618064,304.235912,17281.975168,6.101084,333.775777,399.471566,12.265002,81.588992,2.896547,0
7.080795,143.453731,19942.273218,5.890755,333.775777,427.130671,22.469892,53.124094,2.907564,0
9.267188,198.614395,24683.723566,6.110612,328.077533,396.876949,16.471969,30.383315,4.324005,0
7.080795,233.858996,11703.923907,4.599388,309.03932,349.399633,18.338893,42.677465,3.510004,0
5.33194,194.874065,16658.876503,7.99383,316.675162,335.120398,10.180514,59.572714,4.43482,0
7.145772,238.689929,28780.340432,6.814029,385.97565,332.032706,11.093163,66.138045,5.182591,0
9.920691,202.817483,9973.934059,6.882248,337.350529,333.19247,23.917601,71.833624,4.690707,0
4.758439,183.349454,21568.428779,4.731349,333.775777,403.944168,18.668229,66.9124,4.542801,0
5.702926,216.850474,35606.440177,7.184351,333.775777,504.63826,16.14079,77.536184,4.137739,0
6.953864,209.638293,10575.186281,4.462707,315.606594,391.184315,13.285334,87.390889,3.19571,0
10.682966,173.375498,15758.740621,5.570784,307.352586,323.807913,10.09087,78.472784,3.999775,0
7.080795,129.890572,34415.853146,6.321929,304.535224,470.329169,18.59941,72.403634,4.405586,0
8.757257,200.1914,21536.224687,4.915101,317.8829,404.717799,13.768323,47.930872,3.626135,0
7.080795,168.388431,27492.307307,7.046225,299.820478,383.79502,16.182066,75.729434,3.048057,0
7.809632,100.457615,12013.550629,5.212315,247.200826,605.220124,9.611349,66.084174,2.447444,0
6.652488,145.010172,19871.788448,4.961066,288.052192,545.974994,10.942024,71.727414,3.74209,0
9.147197,211.714142,11920.610836,7.230795,339.751919,527.70891,18.275312,47.634885,3.794532,0
10.560745,181.893366,21783.651033,6.99126,340.390378,456.556402,16.482835,34.252049,3.964686,0
7.484255,260.092173,30616.615149,9.379134,333.775777,404.670777,15.934484,66.621027,4.781188,0
8.520807,238.335112,28779.650011,8.282808,381.649323,481.318803,6.016337,39.091171,3.940605,0
4.999414,190.28705,24323.865903,7.230164,324.893038,405.330482,8.236558,99.427385,4.460684,0
